Round Number, Network Remaining Energy
629,3.800697
630,3.785139
631,3.767837
632,3.753491
633,3.736909
634,3.731509
635,3.718252
636,3.702580
637,3.685513
638,3.672351
639,3.657482
640,3.643675
641,3.627233
642,3.613886
643,3.598526
644,3.582403
645,3.563828
646,3.550824
647,3.535443
648,3.521491
649,3.504676
650,3.489036
651,3.476367
652,3.462933
653,3.457733
654,3.432908
655,3.418365
656,3.402144
657,3.388101
658,3.382901
659,3.369666
660,3.353567
661,3.339268
662,3.334068
663,3.319997
664,3.306727
665,3.293442
666,3.279599
667,3.274399
668,3.261012
669,3.255812
670,3.242413
671,3.227557
672,3.212625
673,3.197879
674,3.192679
675,3.187479
676,3.174193
677,3.160592
678,3.147781
679,3.142581
680,3.128824
681,3.114685
682,3.101751
683,3.096551
684,3.082470
685,3.069535
686,3.064335
687,3.050696
688,3.035498
689,3.020841
690,3.000185
691,2.984822
692,2.971000
693,2.957838
694,2.943673
695,2.928561
696,2.913363
697,2.899725
698,2.885531
699,2.871902
700,2.858976
701,2.845223
702,2.831551
703,2.817241
704,2.803524
705,2.791329
706,2.776260
707,2.757635
708,2.752835
709,2.739051
710,2.726956
711,2.713282
712,2.700169
713,2.687644
714,2.674422
715,2.663046
716,2.650847
717,2.638303
718,2.626805
719,2.615755
720,2.601938
721,2.589047
722,2.577911
723,2.565547
724,2.554189
725,2.542846
726,2.532645
727,2.521109
728,2.508686
729,2.497023
730,2.485802
731,2.473368
732,2.460180
733,2.449644
734,2.438186
735,2.426785
736,2.415655
737,2.404464
738,2.392233
739,2.375040
740,2.362322
741,2.347592
742,2.335267
743,2.322530
744,2.311599
745,2.300675
746,2.289341
747,2.276545
748,2.264690
749,2.250872
750,2.239713
751,2.228366
752,2.217555
753,2.212955
754,2.208355
755,2.195167
756,2.190567
757,2.179727
758,2.167183
759,2.156479
760,2.145742
761,2.134026
762,2.121241
763,2.110016
764,2.105416
765,2.094632
766,2.083206
767,2.071336
768,2.060108
769,2.055508
770,2.044351
771,2.033721
772,2.020589
773,2.008264
774,1.997575
775,1.986544
776,1.970580
777,1.957690
778,1.946289
779,1.934941
780,1.923784
781,1.913317
782,1.902038
783,1.889252
784,1.874355
785,1.863794
786,1.852810
787,1.835617
788,1.822831
789,1.810421
790,1.798960
791,1.787978
792,1.776547
793,1.765302
794,1.752114
795,1.741830
796,1.730687
797,1.718431
798,1.705645
799,1.693686
800,1.683361
801,1.669644
802,1.658407
803,1.647458
804,1.630414
805,1.619289
806,1.607323
807,1.595505
808,1.581170
809,1.569556
810,1.564956
811,1.553841
812,1.541875
813,1.531022
814,1.517784
815,1.506939
816,1.495800
817,1.483149
818,1.472187
819,1.460915
820,1.448820
821,1.431486
822,1.417771
823,1.402874
824,1.391704
825,1.380436
826,1.369436
827,1.357296
828,1.347462
829,1.337156
830,1.324834
831,1.314173
832,1.301851
833,1.291541
834,1.280408
835,1.266672
836,1.256031
837,1.245649
838,1.234508
839,1.223573
840,1.213368
841,1.201594
842,1.189272
843,1.184872
844,1.171477
845,1.157743
846,1.144787
847,1.132416
848,1.122064
849,1.111699
850,1.100814
851,1.085271
852,1.072358
853,1.062091
854,1.050411
855,1.046011
856,1.034179
857,1.022576
858,1.011947
859,1.000885
860,0.996485
861,0.983205
862,0.972628
863,0.962829
864,0.951719
865,0.939001
866,0.934601
867,0.922279
868,0.912598
869,0.900690
870,0.893097
871,0.883029
872,0.873757
873,0.863863
874,0.850144
875,0.840160
876,0.831309
877,0.819616
878,0.810750
879,0.806950
880,0.798689
881,0.791841
882,0.788641
883,0.781330
884,0.778130
885,0.768941
886,0.760387
887,0.752542
888,0.742297
889,0.734135
890,0.719916
891,0.709671
892,0.702027
893,0.695795
894,0.688516
895,0.681360
896,0.678360
897,0.669413
898,0.661340
899,0.653308
900,0.644745
901,0.636688
902,0.629429
903,0.621842
904,0.618842
905,0.609617
906,0.601885
907,0.592996
908,0.584884
909,0.575486
910,0.572486
911,0.564868
912,0.556837
913,0.548148
914,0.539156
915,0.531776
916,0.523865
917,0.515001
918,0.506890
919,0.499011
920,0.490900
921,0.483696
922,0.476155
923,0.468605
924,0.460298
925,0.457298
926,0.447799
927,0.439238
928,0.430153
929,0.427153
930,0.420038
931,0.412389
932,0.404869
933,0.396443
934,0.386753
935,0.383753
936,0.380753
937,0.371761
938,0.364426
939,0.355480
940,0.352480
941,0.344422
942,0.336998
943,0.329780
944,0.320917
945,0.314576
946,0.306003
947,0.300341
948,0.292337
949,0.289737
950,0.282849
951,0.276490
952,0.269093
953,0.262585
954,0.255421
955,0.248216
956,0.245816
957,0.239717
958,0.237317
959,0.231850
960,0.224613
961,0.222213
962,0.216475
963,0.211261
964,0.206221
965,0.200500
966,0.193713
967,0.191513
968,0.185486
969,0.179789
970,0.173601
971,0.169112
972,0.166424
973,0.162962
974,0.159260
975,0.157660
976,0.156060
977,0.152718
978,0.149151
979,0.147551
980,0.145951
981,0.142249
982,0.140649
983,0.137148
984,0.133371
985,0.129618
986,0.126261
987,0.124661
988,0.123061
989,0.121661
990,0.118654
991,0.117254
992,0.115854
993,0.112835
994,0.111435
995,0.110035
996,0.106780
997,0.103438
998,0.100245
999,0.098845
1000,0.095652
1001,0.092243
1002,0.090843
1003,0.089443
1004,0.088043
1005,0.084701
1006,0.083301
1007,0.080270
1008,0.077015
1009,0.074008
1010,0.072608
1011,0.071208
1012,0.067799
1013,0.066599
1014,0.065399
1015,0.062589
1016,0.059817
1017,0.058617
1018,0.056437
1019,0.055237
1020,0.052803
1021,0.050648
1022,0.049648
1023,0.047101
1024,0.044763
1025,0.042388
1026,0.041388
1027,0.040388
1028,0.039388
1029,0.038388
1030,0.037388
1031,0.035232
1032,0.034232
1033,0.031987
1034,0.030987
1035,0.028553
1036,0.026178
1037,0.025178
1038,0.024178
1039,0.023178
1040,0.020744
1041,0.019744
1042,0.018744
1043,0.016368
1044,0.015368
1045,0.013030
1046,0.011166
1047,0.010366
1048,0.008631
1049,0.008031
1050,0.006743
1051,0.006143
1052,0.005543
1053,0.004071
1054,0.003471
1055,0.002871
1056,0.002271
1057,0.001671
1058,0.001071
1059,0.000000
1060,0.000000
