Round Number, Total Energy Consumption
902,24.370571
903,24.378158
904,24.381158
905,24.390383
906,24.398115
907,24.407004
908,24.415116
909,24.424514
910,24.427514
911,24.435132
912,24.443163
913,24.451852
914,24.460844
915,24.468224
916,24.476135
917,24.484999
918,24.493110
919,24.500989
920,24.509100
921,24.516304
922,24.523845
923,24.531395
924,24.539702
925,24.542702
926,24.552201
927,24.560762
928,24.569847
929,24.572847
930,24.579962
931,24.587611
932,24.595131
933,24.603557
934,24.613247
935,24.616247
936,24.619247
937,24.628239
938,24.635574
939,24.644520
940,24.647520
941,24.655578
942,24.663002
943,24.670220
944,24.679083
945,24.685424
946,24.693997
947,24.699659
948,24.707663
949,24.710263
950,24.717151
951,24.723510
952,24.730907
953,24.737415
954,24.744579
955,24.751784
956,24.754184
957,24.760283
958,24.762683
959,24.768150
960,24.775387
961,24.777787
962,24.783525
963,24.788739
964,24.793779
965,24.799500
966,24.806287
967,24.808487
968,24.814514
969,24.820211
970,24.826399
971,24.830888
972,24.833576
973,24.837038
974,24.840740
975,24.842340
976,24.843940
977,24.847282
978,24.850849
979,24.852449
980,24.854049
981,24.857751
982,24.859351
983,24.862852
984,24.866629
985,24.870382
986,24.873739
987,24.875339
988,24.876939
989,24.878339
990,24.881346
991,24.882746
992,24.884146
993,24.887165
994,24.888565
995,24.889965
996,24.893220
997,24.896562
998,24.899755
999,24.901155
1000,24.904348
1001,24.907757
1002,24.909157
1003,24.910557
1004,24.911957
1005,24.915299
1006,24.916699
1007,24.919730
1008,24.922985
1009,24.925992
1010,24.927392
1011,24.928792
1012,24.932201
1013,24.933401
1014,24.934601
1015,24.937411
1016,24.940183
1017,24.941383
1018,24.943563
1019,24.944763
1020,24.947197
1021,24.949352
1022,24.950352
1023,24.952899
1024,24.955237
1025,24.957612
1026,24.958612
1027,24.959612
1028,24.960612
1029,24.961612
1030,24.962612
1031,24.964768
1032,24.965768
1033,24.968013
1034,24.969013
1035,24.971447
1036,24.973822
1037,24.974822
1038,24.975822
1039,24.976822
1040,24.979256
1041,24.980256
1042,24.981256
1043,24.983632
1044,24.984632
1045,24.986970
1046,24.988834
1047,24.989634
1048,24.991369
1049,24.991969
1050,24.993257
1051,24.993857
1052,24.994457
1053,24.995929
1054,24.996529
1055,24.997129
1056,24.997729
1057,24.998329
1058,24.998929
1059,25.000000
1060,25.000000
