Round Number, Network Remaining Energy
670,2.985321
671,2.972807
672,2.959003
673,2.942704
674,2.926706
675,2.913034
676,2.900111
677,2.885366
678,2.871682
679,2.866482
680,2.851956
681,2.836170
682,2.820912
683,2.807731
684,2.792979
685,2.765246
686,2.752271
687,2.737963
688,2.724378
689,2.709550
690,2.692889
691,2.678683
692,2.666084
693,2.650745
694,2.637932
695,2.625200
696,2.612762
697,2.600029
698,2.586469
699,2.574114
700,2.562177
701,2.557177
702,2.542555
703,2.529549
704,2.513682
705,2.500782
706,2.486657
707,2.469394
708,2.456856
709,2.445366
710,2.431379
711,2.417124
712,2.404746
713,2.390202
714,2.377750
715,2.360340
716,2.355340
717,2.342411
718,2.328197
719,2.314422
720,2.301340
721,2.282850
722,2.270911
723,2.257292
724,2.242917
725,2.231222
726,2.219955
727,2.215155
728,2.203256
729,2.185686
730,2.167926
731,2.156250
732,2.144720
733,2.131928
734,2.120601
735,2.108934
736,2.097271
737,2.081293
738,2.064609
739,2.059809
740,2.047462
741,2.029954
742,2.012332
743,2.001117
744,1.987231
745,1.975781
746,1.970981
747,1.957558
748,1.945308
749,1.931621
750,1.919250
751,1.906656
752,1.894673
753,1.883096
754,1.869361
755,1.857858
756,1.845067
757,1.827853
758,1.823053
759,1.812445
760,1.800030
761,1.789406
762,1.773806
763,1.769406
764,1.758777
765,1.754377
766,1.740415
767,1.729862
768,1.717455
769,1.706382
770,1.694006
771,1.682208
772,1.671501
773,1.658539
774,1.646189
775,1.635816
776,1.631416
777,1.619527
778,1.608104
779,1.596330
780,1.584510
781,1.574170
782,1.563959
783,1.549381
784,1.538195
785,1.522639
786,1.508116
787,1.496299
788,1.482423
789,1.469039
790,1.455654
791,1.446074
792,1.442074
793,1.430607
794,1.421284
795,1.411660
796,1.400593
797,1.396593
798,1.387697
799,1.377376
800,1.367702
801,1.363702
802,1.354534
803,1.345044
804,1.335511
805,1.326530
806,1.315667
807,1.311667
808,1.302201
809,1.292294
810,1.283064
811,1.272512
812,1.261457
813,1.251848
814,1.242094
815,1.233111
816,1.218898
817,1.209412
818,1.197929
819,1.188655
820,1.177576
821,1.169228
822,1.159439
823,1.150035
824,1.139483
825,1.129231
826,1.119108
827,1.104894
828,1.093839
829,1.084738
830,1.075168
831,1.064089
832,1.054887
833,1.043826
834,1.034406
835,1.025507
836,1.016467
837,1.005713
838,1.001913
839,0.998113
840,0.988293
841,0.977470
842,0.968725
843,0.960193
844,0.952054
845,0.943392
846,0.939792
847,0.931286
848,0.920509
849,0.911982
850,0.903617
851,0.892946
852,0.884695
853,0.876082
854,0.867859
855,0.858208
856,0.848251
857,0.837094
858,0.827907
859,0.819040
860,0.809655
861,0.801140
862,0.791726
863,0.788326
864,0.779975
865,0.771853
866,0.764134
867,0.755811
868,0.748223
869,0.740296
870,0.732682
871,0.725012
872,0.721612
873,0.714440
874,0.706608
875,0.698481
876,0.690185
877,0.686785
878,0.677882
879,0.668344
880,0.664944
881,0.657060
882,0.647868
883,0.639178
884,0.632062
885,0.623194
886,0.614252
887,0.605355
888,0.598476
889,0.595676
890,0.588842
891,0.582626
892,0.576025
893,0.569676
894,0.566876
895,0.560095
896,0.553430
897,0.550630
898,0.547830
899,0.540717
900,0.533936
901,0.526975
902,0.520692
903,0.513551
904,0.505892
905,0.498779
906,0.490911
907,0.484551
908,0.478006
909,0.475206
910,0.472406
911,0.464738
912,0.458947
913,0.452359
914,0.446190
915,0.443390
916,0.440590
917,0.437790
918,0.431821
919,0.429021
920,0.422224
921,0.419424
922,0.411145
923,0.403898
924,0.397738
925,0.391437
926,0.385299
927,0.378457
928,0.370589
929,0.363629
930,0.355350
931,0.348970
932,0.342475
933,0.336018
934,0.329221
935,0.326421
936,0.319460
937,0.312635
938,0.305918
939,0.299035
940,0.292669
941,0.286891
942,0.280898
943,0.274293
944,0.269050
945,0.266650
946,0.264250
947,0.257849
948,0.251291
949,0.245439
950,0.240101
951,0.237701
952,0.231688
953,0.229288
954,0.223022
955,0.217625
956,0.212017
957,0.209617
958,0.203215
959,0.197307
960,0.191705
961,0.185796
962,0.183396
963,0.178721
964,0.174977
965,0.170819
966,0.169019
967,0.167219
968,0.163280
969,0.159125
970,0.157325
971,0.155525
972,0.151377
973,0.149577
974,0.144464
975,0.142664
976,0.140864
977,0.136892
978,0.132873
979,0.128918
980,0.124962
981,0.123162
982,0.118995
983,0.113882
984,0.109724
985,0.105528
986,0.101380
987,0.099580
988,0.095039
989,0.093239
990,0.088963
991,0.085245
992,0.083445
993,0.079278
994,0.075721
995,0.074321
996,0.071179
997,0.067075
998,0.065675
999,0.064275
1000,0.062875
1001,0.059596
1002,0.058396
1003,0.057196
1004,0.054443
1005,0.052635
1006,0.051635
1007,0.050635
1008,0.048758
1009,0.047958
1010,0.047158
1011,0.045232
1012,0.044432
1013,0.042550
1014,0.041750
1015,0.040009
1016,0.039209
1017,0.038409
1018,0.037609
1019,0.035716
1020,0.033822
1021,0.033022
1022,0.032222
1023,0.031422
1024,0.030622
1025,0.028873
1026,0.027131
1027,0.026331
1028,0.025531
1029,0.024731
1030,0.023931
1031,0.022166
1032,0.020285
1033,0.019485
1034,0.018685
1035,0.016943
1036,0.016143
1037,0.015343
1038,0.014543
1039,0.013743
1040,0.011850
1041,0.011050
1042,0.010250
1043,0.008369
1044,0.007569
1045,0.005827
1046,0.003901
1047,0.003101
1048,0.002501
1049,0.001901
1050,0.001301
1051,0.000701
1052,0.000101
1053,0.000000
1054,0.000000
