Round Number, Total Energy Consumption
832,23.945113
833,23.956174
834,23.965594
835,23.974493
836,23.983533
837,23.994287
838,23.998087
839,24.001887
840,24.011707
841,24.022530
842,24.031275
843,24.039807
844,24.047946
845,24.056608
846,24.060208
847,24.068714
848,24.079491
849,24.088018
850,24.096383
851,24.107054
852,24.115305
853,24.123918
854,24.132141
855,24.141792
856,24.151749
857,24.162906
858,24.172093
859,24.180960
860,24.190345
861,24.198860
862,24.208274
863,24.211674
864,24.220025
865,24.228147
866,24.235866
867,24.244189
868,24.251777
869,24.259704
870,24.267318
871,24.274988
872,24.278388
873,24.285560
874,24.293392
875,24.301519
876,24.309815
877,24.313215
878,24.322118
879,24.331656
880,24.335056
881,24.342940
882,24.352132
883,24.360822
884,24.367938
885,24.376806
886,24.385748
887,24.394645
888,24.401524
889,24.404324
890,24.411158
891,24.417374
892,24.423975
893,24.430324
894,24.433124
895,24.439905
896,24.446570
897,24.449370
898,24.452170
899,24.459283
900,24.466064
901,24.473025
902,24.479308
903,24.486449
904,24.494108
905,24.501221
906,24.509089
907,24.515449
908,24.521994
909,24.524794
910,24.527594
911,24.535262
912,24.541053
913,24.547641
914,24.553810
915,24.556610
916,24.559410
917,24.562210
918,24.568179
919,24.570979
920,24.577776
921,24.580576
922,24.588855
923,24.596102
924,24.602262
925,24.608563
926,24.614701
927,24.621543
928,24.629411
929,24.636371
930,24.644650
931,24.651030
932,24.657525
933,24.663982
934,24.670779
935,24.673579
936,24.680540
937,24.687365
938,24.694082
939,24.700965
940,24.707331
941,24.713109
942,24.719102
943,24.725707
944,24.730950
945,24.733350
946,24.735750
947,24.742151
948,24.748709
949,24.754561
950,24.759899
951,24.762299
952,24.768312
953,24.770712
954,24.776978
955,24.782375
956,24.787983
957,24.790383
958,24.796785
959,24.802693
960,24.808295
961,24.814204
962,24.816604
963,24.821279
964,24.825023
965,24.829181
966,24.830981
967,24.832781
968,24.836720
969,24.840875
970,24.842675
971,24.844475
972,24.848623
973,24.850423
974,24.855536
975,24.857336
976,24.859136
977,24.863108
978,24.867127
979,24.871082
980,24.875038
981,24.876838
982,24.881005
983,24.886118
984,24.890276
985,24.894472
986,24.898620
987,24.900420
988,24.904961
989,24.906761
990,24.911037
991,24.914755
992,24.916555
993,24.920722
994,24.924279
995,24.925679
996,24.928821
997,24.932925
998,24.934325
999,24.935725
1000,24.937125
1001,24.940404
1002,24.941604
1003,24.942804
1004,24.945557
1005,24.947365
1006,24.948365
1007,24.949365
1008,24.951242
1009,24.952042
1010,24.952842
1011,24.954768
1012,24.955568
1013,24.957450
1014,24.958250
1015,24.959991
1016,24.960791
1017,24.961591
1018,24.962391
1019,24.964284
1020,24.966178
1021,24.966978
1022,24.967778
1023,24.968578
1024,24.969378
1025,24.971127
1026,24.972869
1027,24.973669
1028,24.974469
1029,24.975269
1030,24.976069
1031,24.977834
1032,24.979715
1033,24.980515
1034,24.981315
1035,24.983057
1036,24.983857
1037,24.984657
1038,24.985457
1039,24.986257
1040,24.988150
1041,24.988950
1042,24.989750
1043,24.991631
1044,24.992431
1045,24.994173
1046,24.996099
1047,24.996899
1048,24.997499
1049,24.998099
1050,24.998699
1051,24.999299
1052,24.999899
1053,25.000000
1054,25.000000
